(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python resnet50_cifar10_ablation.py
=== [CIFAR-10] COMPREHENSIVE RESNET-50 ABLATION STUDY STARTING ===
Files already downloaded and verified
Files already downloaded and verified

[CIFAR-10] Baseline ResNet50 + KAN Training (Run 1/5)
Downloading: "https://download.pytorch.org/models/resnet50-0676ba61.pth" to C:\Users\ASUS-WORKSTATION/.cache\torch\hub\checkpoints\resnet50-0676ba61.pth
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 97.8M/97.8M [00:09<00:00, 11.0MB/s]
    Epoch [10/20] | Train Loss: 0.0400 - Acc: 98.70% | Val Loss: 0.2791 - Acc: 93.73% | F1: 0.9373
    Epoch [11/20] | Train Loss: 0.0469 - Acc: 98.42% | Val Loss: 0.2304 - Acc: 94.75% | F1: 0.9473
    Epoch [12/20] | Train Loss: 0.0400 - Acc: 98.71% | Val Loss: 0.2193 - Acc: 94.43% | F1: 0.9445
    Epoch [13/20] | Train Loss: 0.0391 - Acc: 98.73% | Val Loss: 0.2665 - Acc: 93.84% | F1: 0.9381
    Epoch [14/20] | Train Loss: 0.0309 - Acc: 98.99% | Val Loss: 0.2746 - Acc: 93.53% | F1: 0.9352
    Epoch [15/20] | Train Loss: 0.0349 - Acc: 98.87% | Val Loss: 0.2491 - Acc: 93.98% | F1: 0.9400
    Epoch [16/20] | Train Loss: 0.0282 - Acc: 99.05% | Val Loss: 0.2434 - Acc: 94.33% | F1: 0.9432
    Epoch [17/20] | Train Loss: 0.0326 - Acc: 98.96% | Val Loss: 0.2288 - Acc: 94.85% | F1: 0.9484
    Epoch [18/20] | Train Loss: 0.0257 - Acc: 99.15% | Val Loss: 0.2689 - Acc: 93.84% | F1: 0.9385
    Epoch [19/20] | Train Loss: 0.0263 - Acc: 99.19% | Val Loss: 0.2413 - Acc: 94.63% | F1: 0.9462
    Epoch [20/20] | Train Loss: 0.0244 - Acc: 99.19% | Val Loss: 0.2905 - Acc: 93.51% | F1: 0.9349

[CIFAR-10] Baseline ResNet50 + KAN Training (Run 5/5)
    Epoch [01/20] | Train Loss: 0.4464 - Acc: 86.92% | Val Loss: 0.2650 - Acc: 92.14% | F1: 0.9217
    Epoch [02/20] | Train Loss: 0.1647 - Acc: 94.91% | Val Loss: 0.2490 - Acc: 92.79% | F1: 0.9282
    Epoch [03/20] | Train Loss: 0.1009 - Acc: 96.74% | Val Loss: 0.2364 - Acc: 93.99% | F1: 0.9398
    Epoch [04/20] | Train Loss: 0.0866 - Acc: 97.09% | Val Loss: 0.2446 - Acc: 93.65% | F1: 0.9364
    Epoch [05/20] | Train Loss: 0.0852 - Acc: 97.24% | Val Loss: 0.2491 - Acc: 93.96% | F1: 0.9395
    Epoch [06/20] | Train Loss: 0.0744 - Acc: 97.60% | Val Loss: 0.2514 - Acc: 93.52% | F1: 0.9353
    Epoch [07/20] | Train Loss: 0.0663 - Acc: 97.90% | Val Loss: 0.2391 - Acc: 94.14% | F1: 0.9412
    Epoch [08/20] | Train Loss: 0.0566 - Acc: 98.21% | Val Loss: 0.2387 - Acc: 94.25% | F1: 0.9426
    Epoch [09/20] | Train Loss: 0.0515 - Acc: 98.37% | Val Loss: 0.2945 - Acc: 92.84% | F1: 0.9282
    Epoch [10/20] | Train Loss: 0.0486 - Acc: 98.42% | Val Loss: 0.2130 - Acc: 94.99% | F1: 0.9500
