(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python isic2019_vit_bct_mlp_ablation.py
=== [ISIC 2019] VI+BCT+MLP ABLATION STUDY STARTING ===
>> ISIC 2019 dataset is already prepared at './data/ISIC2019'. Skipping download.
>> Computed Class Weights for 8 classes: tensor([ 3.6499,  0.9530,  1.2068, 13.2618,  0.7001,  0.2459,  5.0458, 12.5396])

[ISIC 2019] Baseline ViT + MLP (Run 1/5)
    Epoch [10/20] | Train Loss: 0.2179 | Val Acc: 75.23% | Macro F1: 0.6736 | Prec: 0.7148 | Rec: 0.6608
    Epoch [11/20] | Train Loss: 0.2142 | Val Acc: 77.34% | Macro F1: 0.7064 | Prec: 0.7043 | Rec: 0.7324
    Epoch [12/20] | Train Loss: 0.1503 | Val Acc: 79.93% | Macro F1: 0.7494 | Prec: 0.7510 | Rec: 0.7568
    Epoch [13/20] | Train Loss: 0.1387 | Val Acc: 78.29% | Macro F1: 0.6958 | Prec: 0.7124 | Rec: 0.7099
    Epoch [14/20] | Train Loss: 0.1530 | Val Acc: 78.01% | Macro F1: 0.6807 | Prec: 0.6774 | Rec: 0.7351
    Epoch [15/20] | Train Loss: 0.1790 | Val Acc: 77.74% | Macro F1: 0.7059 | Prec: 0.7001 | Rec: 0.7250
    Epoch [16/20] | Train Loss: 0.1216 | Val Acc: 81.01% | Macro F1: 0.7519 | Prec: 0.7564 | Rec: 0.7568
    Epoch [17/20] | Train Loss: 0.0894 | Val Acc: 83.03% | Macro F1: 0.7780 | Prec: 0.7916 | Rec: 0.7669
    Epoch [18/20] | Train Loss: 0.0808 | Val Acc: 75.35% | Macro F1: 0.7222 | Prec: 0.7073 | Rec: 0.7594
    Epoch [19/20] | Train Loss: 0.1058 | Val Acc: 82.65% | Macro F1: 0.7606 | Prec: 0.7561 | Rec: 0.7685
    Epoch [20/20] | Train Loss: 0.0936 | Val Acc: 78.71% | Macro F1: 0.7355 | Prec: 0.7317 | Rec: 0.7456

[ISIC 2019] Baseline ViT + MLP (Run 5/5)
    Epoch [01/20] | Train Loss: 1.3092 | Val Acc: 65.19% | Macro F1: 0.5276 | Prec: 0.4997 | Rec: 0.6382
    Epoch [02/20] | Train Loss: 0.9439 | Val Acc: 68.32% | Macro F1: 0.5768 | Prec: 0.5595 | Rec: 0.6693
    Epoch [03/20] | Train Loss: 0.7409 | Val Acc: 71.84% | Macro F1: 0.6098 | Prec: 0.5795 | Rec: 0.6914
    Epoch [04/20] | Train Loss: 0.6265 | Val Acc: 70.99% | Macro F1: 0.5977 | Prec: 0.5452 | Rec: 0.7238
    Epoch [05/20] | Train Loss: 0.5149 | Val Acc: 68.42% | Macro F1: 0.6104 | Prec: 0.5697 | Rec: 0.7239
    Epoch [06/20] | Train Loss: 0.4007 | Val Acc: 71.52% | Macro F1: 0.6069 | Prec: 0.5720 | Rec: 0.7057
    Epoch [07/20] | Train Loss: 0.3858 | Val Acc: 76.87% | Macro F1: 0.7072 | Prec: 0.6889 | Rec: 0.7447
    Epoch [08/20] | Train Loss: 0.2571 | Val Acc: 77.19% | Macro F1: 0.7194 | Prec: 0.7025 | Rec: 0.7505
    Epoch [09/20] | Train Loss: 0.2152 | Val Acc: 77.01% | Macro F1: 0.6901 | Prec: 0.6552 | Rec: 0.7535
    Epoch [10/20] | Train Loss: 0.2026 | Val Acc: 77.99% | Macro F1: 0.7119 | Prec: 0.7068 | Rec: 0.7357
    Epoch [11/20] | Train Loss: 0.1875 | Val Acc: 76.87% | Macro F1: 0.6963 | Prec: 0.6564 | Rec: 0.7601
    Epoch [12/20] | Train Loss: 0.1563 | Val Acc: 73.34% | Macro F1: 0.6307 | Prec: 0.6235 | Rec: 0.7150
    Epoch [13/20] | Train Loss: 0.1826 | Val Acc: 78.29% | Macro F1: 0.7499 | Prec: 0.7350 | Rec: 0.7778
    Epoch [14/20] | Train Loss: 0.0862 | Val Acc: 79.99% | Macro F1: 0.7427 | Prec: 0.7593 | Rec: 0.7390
    Epoch [15/20] | Train Loss: 0.1295 | Val Acc: 80.94% | Macro F1: 0.7435 | Prec: 0.7382 | Rec: 0.7598
    Epoch [16/20] | Train Loss: 0.1177 | Val Acc: 81.76% | Macro F1: 0.7520 | Prec: 0.7359 | Rec: 0.7780
    Epoch [17/20] | Train Loss: 0.0994 | Val Acc: 72.69% | Macro F1: 0.7364 | Prec: 0.7378 | Rec: 0.7565
    Epoch [18/20] | Train Loss: 0.0787 | Val Acc: 80.62% | Macro F1: 0.7615 | Prec: 0.7540 | Rec: 0.7754
    Epoch [19/20] | Train Loss: 0.1426 | Val Acc: 81.72% | Macro F1: 0.7569 | Prec: 0.7565 | Rec: 0.7595
    Epoch [20/20] | Train Loss: 0.1263 | Val Acc: 79.53% | Macro F1: 0.7390 | Prec: 0.7124 | Rec: 0.7761

[ISIC 2019] Proposed ViT + BCT + MLP (Run 1/5)
    Epoch [01/20] | Train Loss: 1.3111 | Val Acc: 59.58% | Macro F1: 0.5022 | Prec: 0.5200 | Rec: 0.6201
    Epoch [02/20] | Train Loss: 0.9377 | Val Acc: 65.32% | Macro F1: 0.5314 | Prec: 0.5127 | Rec: 0.6355
    Epoch [03/20] | Train Loss: 0.7804 | Val Acc: 69.47% | Macro F1: 0.5673 | Prec: 0.5453 | Rec: 0.6921
    Epoch [04/20] | Train Loss: 0.6384 | Val Acc: 71.23% | Macro F1: 0.6460 | Prec: 0.6721 | Rec: 0.6609
    Epoch [05/20] | Train Loss: 0.5135 | Val Acc: 76.49% | Macro F1: 0.7125 | Prec: 0.7144 | Rec: 0.7193
    Epoch [06/20] | Train Loss: 0.4026 | Val Acc: 77.28% | Macro F1: 0.6968 | Prec: 0.6753 | Rec: 0.7377
    Epoch [07/20] | Train Loss: 0.3782 | Val Acc: 70.89% | Macro F1: 0.6502 | Prec: 0.6120 | Rec: 0.7399
    Epoch [08/20] | Train Loss: 0.3063 | Val Acc: 76.99% | Macro F1: 0.7036 | Prec: 0.7061 | Rec: 0.7153
    Epoch [09/20] | Train Loss: 0.2673 | Val Acc: 79.89% | Macro F1: 0.7390 | Prec: 0.7335 | Rec: 0.7489
    Epoch [10/20] | Train Loss: 0.2098 | Val Acc: 79.20% | Macro F1: 0.7439 | Prec: 0.7303 | Rec: 0.7636
    Epoch [11/20] | Train Loss: 0.1776 | Val Acc: 73.81% | Macro F1: 0.6485 | Prec: 0.6393 | Rec: 0.7217
